REGISTER_NAME	BN_NAME	BN_STATUS	BN_REG_DT	BN_CANCEL_DT	BN_RENEW_DT	BN_STATE_NUM	BN_STATE_OF_REG	BN_ABN
BUSINESS NAMES	Lets Rethink Business	Deregistered	04/06/2015	28/10/2016	04/06/2016			37362506397
BUSINESS NAMES	John&Ming contracting	Deregistered	29/05/2015	07/10/2016	29/05/2016			90149900714
BUSINESS NAMES	Mayan Glow	Deregistered	03/06/2015	28/10/2016	03/06/2016			59493489523
BUSINESS NAMES	shear indulgence	Deregistered	04/06/2015	28/10/2016	04/06/2016			50625885322
BUSINESS NAMES	Lil Albino Productions	Deregistered	29/05/2015	06/10/2016	29/05/2016			86969735673
BUSINESS NAMES	Southtronic Imports	Deregistered	01/06/2015	28/10/2016	01/06/2016			28856052393
BUSINESS NAMES	DEADLY MEDIA	Deregistered	29/05/2015	06/10/2016	29/05/2016			36141918132
BUSINESS NAMES	oH my gooDnesS (organic vegan treats)	Deregistered	02/06/2015	27/06/2017	02/06/2018			96597952722
BUSINESS NAMES	TAYLOR,S TAKEAWAY FOOD	Deregistered	30/05/2015	28/10/2016	30/05/2016			43942826632
